PART 1-A FINAL CONDITIONS

Battleship: S - Sovetsky Soyuz-class
Status: ALIVE

Escort ships destroyed by B: 0
B survived.

Escort final states:
E1 E_D - ALIVE
E2 E_C - ALIVE
E3 E_E - ALIVE
E4 E_D - ALIVE
E5 E_C - ALIVE
E6 E_C - ALIVE
E7 E_E - ALIVE
E8 E_C - ALIVE
E9 E_D - ALIVE
E10 E_D - ALIVE
E11 E_C - ALIVE
E12 E_A - ALIVE
E13 E_C - ALIVE
E14 E_B - ALIVE
E15 E_C - ALIVE
E16 E_B - ALIVE
E17 E_B - ALIVE
E18 E_B - ALIVE
E19 E_A - ALIVE
E20 E_B - ALIVE
E21 E_C - ALIVE
E22 E_D - ALIVE
E23 E_B - ALIVE
E24 E_C - ALIVE
E25 E_A - ALIVE
E26 E_D - ALIVE
E27 E_E - ALIVE
E28 E_B - ALIVE
E29 E_C - ALIVE
E30 E_E - ALIVE
E31 E_D - ALIVE
E32 E_B - ALIVE
E33 E_D - ALIVE
E34 E_B - ALIVE
E35 E_C - ALIVE
E36 E_E - ALIVE
E37 E_E - ALIVE
E38 E_D - ALIVE
E39 E_B - ALIVE
E40 E_A - ALIVE
E41 E_C - ALIVE
E42 E_A - ALIVE
E43 E_C - ALIVE
E44 E_E - ALIVE
E45 E_C - ALIVE
E46 E_D - ALIVE
E47 E_E - ALIVE
E48 E_C - ALIVE
E49 E_C - ALIVE
E50 E_C - ALIVE
E51 E_B - ALIVE
E52 E_D - ALIVE
E53 E_E - ALIVE
E54 E_C - ALIVE
E55 E_C - ALIVE
E56 E_C - ALIVE
E57 E_C - ALIVE
E58 E_D - ALIVE
