PART 1-A FINAL CONDITIONS

Battleship: U - USS Iowa (BB-61)
Status: DESTROYED

Escort ships destroyed by B: 16
E that sank B: E40

Escort final states:
E1 E_C - ALIVE
E2 E_D - DESTROYED
E3 E_B - DESTROYED
E4 E_C - ALIVE
E5 E_D - DESTROYED
E6 E_E - ALIVE
E7 E_C - ALIVE
E8 E_C - ALIVE
E9 E_E - ALIVE
E10 E_D - ALIVE
E11 E_C - ALIVE
E12 E_C - ALIVE
E13 E_D - DESTROYED
E14 E_A - ALIVE
E15 E_B - ALIVE
E16 E_D - ALIVE
E17 E_A - ALIVE
E18 E_C - ALIVE
E19 E_D - ALIVE
E20 E_A - ALIVE
E21 E_A - ALIVE
E22 E_C - ALIVE
E23 E_B - ALIVE
E24 E_C - ALIVE
E25 E_C - ALIVE
E26 E_A - ALIVE
E27 E_A - DESTROYED
E28 E_E - ALIVE
E29 E_B - ALIVE
E30 E_A - ALIVE
E31 E_B - ALIVE
E32 E_A - ALIVE
E33 E_C - ALIVE
E34 E_B - ALIVE
E35 E_C - ALIVE
E36 E_C - ALIVE
E37 E_E - ALIVE
E38 E_D - ALIVE
E39 E_B - DESTROYED
E40 E_A - ALIVE
E41 E_B - ALIVE
E42 E_B - ALIVE
E43 E_C - DESTROYED
E44 E_E - ALIVE
E45 E_B - ALIVE
E46 E_B - ALIVE
E47 E_A - DESTROYED
E48 E_D - ALIVE
E49 E_C - ALIVE
E50 E_A - ALIVE
E51 E_C - ALIVE
E52 E_B - DESTROYED
E53 E_A - ALIVE
E54 E_B - DESTROYED
E55 E_D - ALIVE
E56 E_E - DESTROYED
E57 E_D - ALIVE
E58 E_E - ALIVE
E59 E_D - ALIVE
E60 E_B - ALIVE
E61 E_E - ALIVE
E62 E_D - ALIVE
E63 E_D - ALIVE
E64 E_A - DESTROYED
E65 E_C - DESTROYED
E66 E_B - ALIVE
E67 E_B - DESTROYED
E68 E_B - ALIVE
E69 E_B - ALIVE
E70 E_D - ALIVE
E71 E_B - ALIVE
E72 E_E - ALIVE
E73 E_D - ALIVE
E74 E_E - DESTROYED
E75 E_B - ALIVE
E76 E_A - ALIVE
E77 E_B - ALIVE
E78 E_C - ALIVE
E79 E_B - ALIVE
E80 E_B - ALIVE
E81 E_A - ALIVE
E82 E_C - ALIVE
E83 E_A - ALIVE
E84 E_E - ALIVE
E85 E_E - DESTROYED
