PART 1-A FINAL CONDITIONS

Battleship: R - Richelieu
Status: DESTROYED

Escort ships destroyed by B: 9
E that sank B: E30

Escort final states:
E1 E_D - ALIVE
E2 E_E - ALIVE
E3 E_C - DESTROYED
E4 E_A - ALIVE
E5 E_E - ALIVE
E6 E_D - ALIVE
E7 E_B - ALIVE
E8 E_D - ALIVE
E9 E_B - ALIVE
E10 E_E - ALIVE
E11 E_E - ALIVE
E12 E_C - DESTROYED
E13 E_D - ALIVE
E14 E_A - ALIVE
E15 E_B - ALIVE
E16 E_D - DESTROYED
E17 E_B - ALIVE
E18 E_C - ALIVE
E19 E_C - ALIVE
E20 E_B - ALIVE
E21 E_C - ALIVE
E22 E_C - ALIVE
E23 E_D - ALIVE
E24 E_A - ALIVE
E25 E_C - ALIVE
E26 E_E - ALIVE
E27 E_C - ALIVE
E28 E_E - ALIVE
E29 E_A - ALIVE
E30 E_A - ALIVE
E31 E_D - ALIVE
E32 E_E - ALIVE
E33 E_D - ALIVE
E34 E_D - ALIVE
E35 E_C - ALIVE
E36 E_C - ALIVE
E37 E_D - ALIVE
E38 E_D - ALIVE
E39 E_C - ALIVE
E40 E_C - ALIVE
E41 E_D - ALIVE
E42 E_B - ALIVE
E43 E_D - ALIVE
E44 E_B - ALIVE
E45 E_B - DESTROYED
E46 E_C - ALIVE
E47 E_D - ALIVE
E48 E_D - ALIVE
E49 E_B - ALIVE
E50 E_B - ALIVE
E51 E_A - ALIVE
E52 E_B - DESTROYED
E53 E_A - DESTROYED
E54 E_D - ALIVE
E55 E_C - ALIVE
E56 E_A - DESTROYED
E57 E_C - DESTROYED
E58 E_D - DESTROYED
