PART 1-A FINAL CONDITIONS

Battleship: U - USS Iowa (BB-61)
Status: ALIVE

Escort ships destroyed by B: 0
B survived.

Escort final states:
E1 E_D - ALIVE
E2 E_D - ALIVE
E3 E_A - ALIVE
E4 E_E - ALIVE
E5 E_C - ALIVE
E6 E_D - ALIVE
E7 E_C - ALIVE
E8 E_D - ALIVE
E9 E_C - ALIVE
E10 E_C - ALIVE
E11 E_D - ALIVE
E12 E_A - ALIVE
E13 E_E - ALIVE
E14 E_C - ALIVE
E15 E_A - ALIVE
E16 E_D - ALIVE
E17 E_B - ALIVE
E18 E_C - ALIVE
E19 E_B - ALIVE
E20 E_D - ALIVE
E21 E_C - ALIVE
E22 E_C - ALIVE
E23 E_E - ALIVE
E24 E_C - ALIVE
E25 E_C - ALIVE
E26 E_D - ALIVE
E27 E_C - ALIVE
E28 E_B - ALIVE
E29 E_A - ALIVE
E30 E_E - ALIVE
E31 E_A - ALIVE
E32 E_E - ALIVE
E33 E_A - ALIVE
E34 E_E - ALIVE
E35 E_C - ALIVE
E36 E_B - ALIVE
E37 E_C - ALIVE
E38 E_A - ALIVE
E39 E_D - ALIVE
E40 E_B - ALIVE
E41 E_A - ALIVE
E42 E_B - ALIVE
E43 E_C - ALIVE
E44 E_C - ALIVE
E45 E_D - ALIVE
E46 E_B - ALIVE
E47 E_C - ALIVE
E48 E_E - ALIVE
E49 E_E - ALIVE
E50 E_C - ALIVE
E51 E_D - ALIVE
E52 E_B - ALIVE
E53 E_E - ALIVE
E54 E_B - ALIVE
E55 E_C - ALIVE
E56 E_C - ALIVE
E57 E_A - ALIVE
E58 E_A - ALIVE
E59 E_D - ALIVE
E60 E_D - ALIVE
E61 E_D - ALIVE
E62 E_D - ALIVE
E63 E_E - ALIVE
E64 E_D - ALIVE
E65 E_D - ALIVE
E66 E_E - ALIVE
E67 E_E - ALIVE
E68 E_B - ALIVE
E69 E_D - ALIVE
E70 E_E - ALIVE
E71 E_C - ALIVE
E72 E_D - ALIVE
E73 E_D - ALIVE
E74 E_E - ALIVE
E75 E_E - ALIVE
E76 E_D - ALIVE
E77 E_B - ALIVE
E78 E_B - ALIVE
E79 E_E - ALIVE
E80 E_B - ALIVE
E81 E_A - ALIVE
E82 E_D - ALIVE
E83 E_A - ALIVE
E84 E_D - ALIVE
E85 E_C - ALIVE
E86 E_A - ALIVE
E87 E_A - ALIVE
E88 E_E - ALIVE
E89 E_C - ALIVE
E90 E_C - ALIVE
E91 E_E - ALIVE
E92 E_C - ALIVE
E93 E_B - ALIVE
E94 E_B - ALIVE
E95 E_B - ALIVE
E96 E_C - ALIVE
E97 E_E - ALIVE
E98 E_A - ALIVE
E99 E_B - ALIVE
